List_Sr_No,Set_No,Set_Name,First_Name,Surname,Country,State_Association,DOB,Age,Specialism,Batting,Bowling,Test_caps,ODI_caps,T20_caps,IPL,Previous_IPL_Teams,Team_2022,IPL_2022_Matches,C_U_A,Base_Price_Lakhs
356,39,UFA6,Rajeev,Singh,India,JKCA,16-06-1995,27,BOWLER,RHB,RIGHT ARM Medium,,,,,,,,Uncapped,20
357,39,UFA6,Mohd.,Wasim,India,JKCA,06-05-1999,23,BOWLER,RHB,RIGHT ARM Medium,,,,,,,,Uncapped,20
358,40,UAL7,Atharva,Ankolekar,India,MCA,26-09-2000,22,ALL-ROUNDER,LHB,LEFT ARM Slow Orthodox,,,,,,,,Uncapped,20
359,40,UAL7,Khizar,Dafedar,India,MCA,10-10-1997,25,ALL-ROUNDER,RHB,RIGHT ARM Leg Spin,,,,,,,,Uncapped,20
360,40,UAL7,Naman,Dhir,India,PCA,31-12-1999,23,ALL-ROUNDER,RHB,RIGHT ARM Off Spin,,,,,,,,Uncapped,20
361,40,UAL7,Sahil,Dhiwan,India,RCA,03-07-1997,25,ALL-ROUNDER,RHB,RIGHT ARM Fast,,,,,,,,Uncapped,20
362,40,UAL7,Sampark,Gupta,India,JKCA,19-06-2001,21,ALL-ROUNDER,LHB,LEFT ARM Slow Orthodox,,,,,,,,Uncapped,20
363,40,UAL7,Jordan,Hermann,South Africa,,04-12-2001,21,ALL-ROUNDER,LHB,RIGHT ARM Off Spin,,,,,,,,Uncapped,20
364,40,UAL7,Hayden,Kerr,Australia,,10-07-1996,26,ALL-ROUNDER,RHB,LEFT ARM Fast Medium,,,,,,,,Uncapped,20
365,40,UAL7,Salman,Khan,India,RCA,26-12-1998,24,ALL-ROUNDER,RHB,RIGHT ARM Medium,,,,,,,,Uncapped,20
366,40,UAL7,Sairaj,Patil,India,MCA,31-10-1996,26,ALL-ROUNDER,RHB,RIGHT ARM Fast Medium,,,,,,,,Uncapped,20
367,40,UAL7,Divyaansh,Saxena,India,MCA,13-02-2001,22,ALL-ROUNDER,LHB,LEFT ARM Slow Orthodox,,,,,,,,Uncapped,20
368,40,UAL7,Purnank,Tyagi,India,UPCA,20-01-2001,22,ALL-ROUNDER,RHB,RIGHT ARM Fast Medium,,,,,,,,Uncapped,20
369,40,UAL7,Prince,Yadav,India,UPCA,02-01-1998,25,ALL-ROUNDER,RHB,RIGHT ARM Fast Medium,,,,,,,,Uncapped,20
370,41,UAL8,Deepraj,Gaonkar,India,GCA,04-04-1998,25,ALL-ROUNDER,RHB,RIGHT ARM Fast Medium,,,,,,,,Uncapped,20
371,41,UAL8,Shubham,Garhwal,India,RCA,14-05-1995,27,ALL-ROUNDER,LHB,LEFT ARM Slow Orthodox,,,,0,RR,RR,0,Uncapped,20
372,41,UAL8,Benny,Howell,England,,05-10-1988,34,ALL-ROUNDER,RHB,RIGHT ARM Medium,,,,0,PBKS,PBKS,0,Uncapped,40
373,41,UAL8,Deepesh,Nailwal,India,CAU,04-11-1997,25,ALL-ROUNDER,LHB,RIGHT ARM Off Spin,,,,,,,,Uncapped,20
374,41,UAL8,Arjun,Rapria,India,DDCA,16-01-2000,23,ALL-ROUNDER,RHB,RIGHT ARM Fast Medium,,,,,,,,Uncapped,20
375,41,UAL8,Shashwat,Rawat,India,BCA,06-04-2001,22,ALL-ROUNDER,LHB,RIGHT ARM Medium,,,,,,,,Uncapped,20
376,41,UAL8,Sumit,Ruikar,India,CSCSCA,06-06-1990,32,ALL-ROUNDER,LHB,LEFT ARM Slow Orthodox,,,,,,,,Uncapped,20
377,41,UAL8,Shivam,Sharma,India,DDCA,09-09-1993,29,ALL-ROUNDER,RHB,RIGHT ARM Off Spin,,,,5,KXIP,,,Uncapped,20
378,41,UAL8,Rajandeep,Singh,India,JSCA,05-09-2002,20,ALL-ROUNDER,RHB,RIGHT ARM Medium,,,,,,,,Uncapped,20
379,41,UAL8,Anunay,Singh,India,BICA,03-01-1993,30,ALL-ROUNDER,RHB,RIGHT ARM Fast Medium,,,,,,,,Uncapped,20
380,41,UAL8,Digvesh,Singh,India,DDCA,15-12-1999,23,ALL-ROUNDER,RHB,RIGHT ARM Off Spin,,,,,,,,Uncapped,20
381,41,UAL8,Pranshu,Vijayran,India,DDCA,18-11-1995,27,ALL-ROUNDER,LHB,RIGHT ARM Fast Medium,,,,,,,,Uncapped,20
382,42,UAL9,Prerit,Dutta,India,PCA,22-09-1998,24,ALL-ROUNDER,LHB,LEFT ARM Slow Orthodox,,,,,,,,Uncapped,20
383,42,UAL9,Ramakrishna,Ghosh,India,MACA,28-08-1997,25,ALL-ROUNDER,RHB,RIGHT ARM Fast,,,,,,,,Uncapped,20
384,42,UAL9,Shubhang,Hegde,India,KSCA,30-03-2001,22,ALL-ROUNDER,LHB,LEFT ARM Slow Orthodox,,,,,,,,Uncapped,20
385,42,UAL9,Shamshuzama,Kazi,India,MACA,10-11-1994,28,ALL-ROUNDER,RHB,RIGHT ARM Off Spin,,,,,,,,Uncapped,20
386,42,UAL9,Ayaz,Khan,India,MCA,10-09-2002,20,ALL-ROUNDER,LHB,LEFT ARM Slow Orthodox,,,,,,,,Uncapped,20
387,42,UAL9,Amit,Pachhara,India,SSCB,08-09-1995,27,ALL-ROUNDER,RHB,RIGHT ARM Off Spin,,,,,,,,Uncapped,20
388,42,UAL9,Akul,Pandove,India,PCA,21-12-1997,25,ALL-ROUNDER,RHB,RIGHT ARM Off Spin,,,,,,,,Uncapped,20
389,42,UAL9,Mohit,Rathee,India,SSCB,13-01-1999,24,ALL-ROUNDER,RHB,RIGHT ARM Leg Spin,,,,,,,,Uncapped,20
390,42,UAL9,Garv,Sangwan,India,HCA,06-03-2004,19,ALL-ROUNDER,RHB,RIGHT ARM Fast Medium,,,,,,,,Uncapped,20
391,42,UAL9,Shubham,Sharma,India,RCA,26-03-1997,26,ALL-ROUNDER,LHB,LEFT ARM Slow Orthodox,,,,,,,,Uncapped,20
392,42,UAL9,Nehal,Wadhera,India,PCA,04-09-2000,22,ALL-ROUNDER,LHB,RIGHT ARM Leg Spin,,,,,,,,Uncapped,20
393,42,UAL9,Amit,Yadav,India,GCA,10-10-1989,33,ALL-ROUNDER,RHB,RIGHT ARM Off Spin,,,,,,,,Uncapped,20
394,43,UAL10,Amit,Ali,India,TCA,28-10-2002,20,ALL-ROUNDER,RHB,RIGHT ARM Leg Spin,,,,,,,,Uncapped,20
395,43,UAL10,Rishabh,Chauhan,India,MPCA,05-09-1999,23,ALL-ROUNDER,RHB,LEFT ARM Slow Orthodox,,,,,,,,Uncapped,20
396,43,UAL10,Matthew,Forde,West Indies,,29-04-2002,20,ALL-ROUNDER,RHB,RIGHT ARM Fast,,,,,,,,Uncapped,20
397,43,UAL10,Sammar,Gajjar,India,SCA,14-08-2003,19,ALL-ROUNDER,LHB,LEFT ARM Slow Orthodox,,,,,,,,Uncapped,20
398,43,UAL10,Rajneesh,Gurbani,India,VCA,28-01-1993,30,ALL-ROUNDER,RHB,RIGHT ARM Fast Medium,,,,,,,,Uncapped,20
399,43,UAL10,Divyansh,Joshi,India,UPCA,24-09-2001,21,ALL-ROUNDER,RHB,RIGHT ARM Fast Medium,,,,,,,,Uncapped,20
400,43,UAL10,Dhruv,Patel,India,BCA,09-12-1997,25,ALL-ROUNDER,RHB,RIGHT ARM Medium,,,,,,,,Uncapped,20
401,43,UAL10,Jack,Prestwidge,Australia,,28-02-1996,27,ALL-ROUNDER,RHB,RIGHT ARM Fast,,,,,,,,Uncapped,20
402,43,UAL10,Aditya,Sarvate,India,VCA,10-12-1989,33,ALL-ROUNDER,RHB,LEFT ARM Slow Orthodox,,,,,,,,Uncapped,20
403,43,UAL10,Sagar,Solanki,India,MPCA,01-01-2000,23,ALL-ROUNDER,LHB,LEFT ARM Slow Unorthodox,,,,,,,,Uncapped,20
404,43,UAL10,Prenelan,Subrayen,South Africa,,23-09-1993,29,ALL-ROUNDER,RHB,RIGHT ARM Off Spin,,,,,,,,Uncapped,20
405,43,UAL10,Bhagath,Varma,India,HYCA,21-09-1998,24,ALL-ROUNDER,RHB,RIGHT ARM Off Spin,,,,0,CSK,CSK,0,Uncapped,20
